"Step","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX"
"113","1211.7545220058792","1211.7545220058792","1211.7545220058792","1201.95247614502","1201.95247614502","1201.95247614502","1197.2915649713934","1197.2915649713934","1197.2915649713934"
"115","1211.0660079906438","1211.0660079906438","1211.0660079906438","1202.8711032461988","1202.8711032461988","1202.8711032461988","1197.8280096532535","1197.8280096532535","1197.8280096532535"
"117","1209.3954940670735","1209.3954940670735","1209.3954940670735","1203.2236403799345","1203.2236403799345","1203.2236403799345","1197.5941498150894","1197.5941498150894","1197.5941498150894"
"119","1209.1417120934348","1209.1417120934348","1209.1417120934348","1203.6400946676358","1203.6400946676358","1203.6400946676358","1197.4604693618226","1197.4604693618226","1197.4604693618226"
"121","1209.5726990232954","1209.5726990232954","1209.5726990232954","1204.1800113253466","1204.1800113253466","1204.1800113253466","1197.6389762366844","1197.6389762366844","1197.6389762366844"
"123","1210.167934450169","1210.167934450169","1210.167934450169","1204.6616595284002","1204.6616595284002","1204.6616595284002","1196.2994546733248","1196.2994546733248","1196.2994546733248"
"125","1210.8323342099443","1210.8323342099443","1210.8323342099443","1204.2080741600025","1204.2080741600025","1204.2080741600025","1195.4806809273944","1195.4806809273944","1195.4806809273944"
"127","1212.599068622183","1212.599068622183","1212.599068622183","1202.7968523880263","1202.7968523880263","1202.7968523880263","1195.2557013718108","1195.2557013718108","1195.2557013718108"
"129","1212.9168155419286","1212.9168155419286","1212.9168155419286","1201.7484063438378","1201.7484063438378","1201.7484063438378","1195.6569243512336","1195.6569243512336","1195.6569243512336"
"131","1213.9278585643392","1213.9278585643392","1213.9278585643392","1202.8435304896163","1202.8435304896163","1202.8435304896163","1196.373023725384","1196.373023725384","1196.373023725384"
"133","1214.5412691437243","1214.5412691437243","1214.5412691437243","1202.087737171666","1202.087737171666","1202.087737171666","1196.3919792932318","1196.3919792932318","1196.3919792932318"
"135","1214.4988872333029","1214.4988872333029","1214.4988872333029","1201.0547643834748","1201.0547643834748","1201.0547643834748","1196.0907852008718","1196.0907852008718","1196.0907852008718"
"137","1213.3847524828527","1213.3847524828527","1213.3847524828527","1201.22222097544","1201.22222097544","1201.22222097544","1194.709913876157","1194.709913876157","1194.709913876157"
"139","1213.3405186648547","1213.3405186648547","1213.3405186648547","1201.432116344786","1201.432116344786","1201.432116344786","1194.0518791383502","1194.0518791383502","1194.0518791383502"
"141","1212.3253509340332","1212.3253509340332","1212.3253509340332","1200.6801902266334","1200.6801902266334","1200.6801902266334","1192.7003535543818","1192.7003535543818","1192.7003535543818"
"143","1212.1241708126563","1212.1241708126563","1212.1241708126563","1199.8599190125485","1199.8599190125485","1199.8599190125485","1191.5145921421115","1191.5145921421115","1191.5145921421115"
"145","1211.1705851250124","1211.1705851250124","1211.1705851250124","1199.2223378038373","1199.2223378038373","1199.2223378038373","1189.8370789076077","1189.8370789076077","1189.8370789076077"
"147","1211.1019566235739","1211.1019566235739","1211.1019566235739","1199.0981334039257","1199.0981334039257","1199.0981334039257","1190.2392705313391","1190.2392705313391","1190.2392705313391"
"149","1211.262894414768","1211.262894414768","1211.262894414768","1198.352624461864","1198.352624461864","1198.352624461864","1190.6763306950716","1190.6763306950716","1190.6763306950716"
"151","1211.4127110882832","1211.4127110882832","1211.4127110882832","1197.5919900085341","1197.5919900085341","1197.5919900085341","1190.735436915636","1190.735436915636","1190.735436915636"
"153","1211.6556050636916","1211.6556050636916","1211.6556050636916","1197.4724093656162","1197.4724093656162","1197.4724093656162","1191.0171232607383","1191.0171232607383","1191.0171232607383"
"155","1211.65265199292","1211.65265199292","1211.65265199292","1196.4860289376363","1196.4860289376363","1196.4860289376363","1191.4287687675815","1191.4287687675815","1191.4287687675815"
"157","1211.9630225369035","1211.9630225369035","1211.9630225369035","1195.408479015077","1195.408479015077","1195.408479015077","1192.0766599266674","1192.0766599266674","1192.0766599266674"
