"Step","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX"
"235","1190.9962599045423","1190.9962599045423","1190.9962599045423","1189.8750519265407","1189.8750519265407","1189.8750519265407","1194.9373376394722","1194.9373376394722","1194.9373376394722"
"237","1191.1843708663907","1191.1843708663907","1191.1843708663907","1189.4883789044463","1189.4883789044463","1189.4883789044463","1195.138459063754","1195.138459063754","1195.138459063754"
"239","1191.6075584979612","1191.6075584979612","1191.6075584979612","1189.5043993046106","1189.5043993046106","1189.5043993046106","1195.7129485001733","1195.7129485001733","1195.7129485001733"
"241","1191.2418219995575","1191.2418219995575","1191.2418219995575","1189.6091020071424","1189.6091020071424","1189.6091020071424","1196.0709263805036","1196.0709263805036","1196.0709263805036"
"243","1191.5872741094283","1191.5872741094283","1191.5872741094283","1189.325435170843","1189.325435170843","1189.325435170843","1196.02481285204","1196.02481285204","1196.02481285204"
"245","1192.0947844612317","1192.0947844612317","1192.0947844612317","1189.0103155861798","1189.0103155861798","1189.0103155861798","1196.5272098713526","1196.5272098713526","1196.5272098713526"
"247","1191.7116479154151","1191.7116479154151","1191.7116479154151","1189.1843722919355","1189.1843722919355","1189.1843722919355","1196.0825279419662","1196.0825279419662","1196.0825279419662"
"249","1191.8183745203398","1191.8183745203398","1191.8183745203398","1189.2774233840114","1189.2774233840114","1189.2774233840114","1195.72171894617","1195.72171894617","1195.72171894617"
"251","1191.766443227866","1191.766443227866","1191.766443227866","1189.0313583525606","1189.0313583525606","1189.0313583525606","1195.4011836678565","1195.4011836678565","1195.4011836678565"
"253","1192.0438652716753","1192.0438652716753","1192.0438652716753","1189.0705643992783","1189.0705643992783","1189.0705643992783","1194.9710115181585","1194.9710115181585","1194.9710115181585"
"255","1191.6895123684292","1191.6895123684292","1191.6895123684292","1189.6334444795639","1189.6334444795639","1189.6334444795639","1194.9505373929255","1194.9505373929255","1194.9505373929255"
