"Step","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX"
"145","1173.1700496570468","1173.1700496570468","1173.1700496570468","1191.1051645794475","1191.1051645794475","1191.1051645794475","1196.5368659417766","1196.5368659417766","1196.5368659417766"
"147","1174.1010782596322","1174.1010782596322","1174.1010782596322","1189.6394300376132","1189.6394300376132","1189.6394300376132","1197.1475614249132","1197.1475614249132","1197.1475614249132"
"149","1172.9702513639088","1172.9702513639088","1172.9702513639088","1186.7901847931214","1186.7901847931214","1186.7901847931214","1200.568823336599","1200.568823336599","1200.568823336599"
"151","1175.0475801182154","1175.0475801182154","1175.0475801182154","1184.5336601890185","1184.5336601890185","1184.5336601890185","1199.2762150140654","1199.2762150140654","1199.2762150140654"
"153","1176.1152127161229","1176.1152127161229","1176.1152127161229","1181.6001090558516","1181.6001090558516","1181.6001090558516","1197.9316592502444","1197.9316592502444","1197.9316592502444"
"155","1175.4738132092164","1175.4738132092164","1175.4738132092164","1178.2387388911711","1178.2387388911711","1178.2387388911711","1195.7840833960233","1195.7840833960233","1195.7840833960233"
"157","1172.4371126845147","1172.4371126845147","1172.4371126845147","1171.108990191863","1171.108990191863","1171.108990191863","1196.0388182254949","1196.0388182254949","1196.0388182254949"
"159","1174.8739411859526","1174.8739411859526","1174.8739411859526","1165.24434007017","1165.24434007017","1165.24434007017","1194.0534377501024","1194.0534377501024","1194.0534377501024"
"161","1176.473716954831","1176.473716954831","1176.473716954831","1160.6640102696201","1160.6640102696201","1160.6640102696201","1194.4693406359638","1194.4693406359638","1194.4693406359638"
"163","1177.3918478427152","1177.3918478427152","1177.3918478427152","1155.8243189714565","1155.8243189714565","1155.8243189714565","1194.4652953061286","1194.4652953061286","1194.4652953061286"
"165","1178.826839880519","1178.826839880519","1178.826839880519","1154.7650470114097","1154.7650470114097","1154.7650470114097","1195.2070310680529","1195.2070310680529","1195.2070310680529"
"167","1181.3030143818944","1181.3030143818944","1181.3030143818944","1152.5484512058656","1152.5484512058656","1152.5484512058656","1194.847148443278","1194.847148443278","1194.847148443278"
"169","1181.2438231311432","1181.2438231311432","1181.2438231311432","1153.233374675221","1153.233374675221","1153.233374675221","1192.9301693807877","1192.9301693807877","1192.9301693807877"
"171","1179.1253844580706","1179.1253844580706","1179.1253844580706","1152.7378057401136","1152.7378057401136","1152.7378057401136","1192.7469639694023","1192.7469639694023","1192.7469639694023"
