"Step","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX"
"113","1201.4899508676544","1201.4899508676544","1201.4899508676544","1201.5307949615951","1201.5307949615951","1201.5307949615951","1210.7807767392608","1210.7807767392608","1210.7807767392608"
"115","1201.825658662325","1201.825658662325","1201.825658662325","1200.7380699339378","1200.7380699339378","1200.7380699339378","1210.6341815595663","1210.6341815595663","1210.6341815595663"
"117","1202.179989954799","1202.179989954799","1202.179989954799","1200.7209335588072","1200.7209335588072","1200.7209335588072","1210.2579627745993","1210.2579627745993","1210.2579627745993"
"119","1203.5090471536485","1203.5090471536485","1203.5090471536485","1200.2192541423015","1200.2192541423015","1200.2192541423015","1208.811204520024","1208.811204520024","1208.811204520024"
"121","1201.8697429402275","1201.8697429402275","1201.8697429402275","1201.4055412112398","1201.4055412112398","1201.4055412112398","1208.578659136454","1208.578659136454","1208.578659136454"
"123","1200.222501779561","1200.222501779561","1200.222501779561","1202.8736387046808","1202.8736387046808","1202.8736387046808","1208.4754018617439","1208.4754018617439","1208.4754018617439"
"125","1200.2919386983588","1200.2919386983588","1200.2919386983588","1204.8793420678317","1204.8793420678317","1204.8793420678317","1209.2477350064794","1209.2477350064794","1209.2477350064794"
"127","1199.8933459272364","1199.8933459272364","1199.8933459272364","1205.484843863198","1205.484843863198","1205.484843863198","1209.1313439675062","1209.1313439675062","1209.1313439675062"
"129","1199.8594923728542","1199.8594923728542","1199.8594923728542","1205.3112754433098","1205.3112754433098","1205.3112754433098","1209.8099822296674","1209.8099822296674","1209.8099822296674"
"131","1199.4421257957451","1199.4421257957451","1199.4421257957451","1204.6912684862657","1204.6912684862657","1204.6912684862657","1211.041089300502","1211.041089300502","1211.041089300502"
"133","1201.1415838069342","1201.1415838069342","1201.1415838069342","1206.4663029427566","1206.4663029427566","1206.4663029427566","1212.1197400922968","1212.1197400922968","1212.1197400922968"
"135","1203.3131621550708","1203.3131621550708","1203.3131621550708","1207.3653509877672","1207.3653509877672","1207.3653509877672","1211.7540288554537","1211.7540288554537","1211.7540288554537"
"137","1202.3990059898215","1202.3990059898215","1202.3990059898215","1207.6747389196191","1207.6747389196191","1207.6747389196191","1211.279317236147","1211.279317236147","1211.279317236147"
"139","1202.8133787400823","1202.8133787400823","1202.8133787400823","1208.3651163542686","1208.3651163542686","1208.3651163542686","1210.737673148528","1210.737673148528","1210.737673148528"
"141","1203.136219477194","1203.136219477194","1203.136219477194","1210.0021924297498","1210.0021924297498","1210.0021924297498","1211.2461571798838","1211.2461571798838","1211.2461571798838"
"143","1203.3639502386438","1203.3639502386438","1203.3639502386438","1211.2009343205737","1211.2009343205737","1211.2009343205737","1211.2787887726392","1211.2787887726392","1211.2787887726392"
"145","1202.2547451148964","1202.2547451148964","1202.2547451148964","1210.7848771912631","1210.7848771912631","1210.7848771912631","1211.6237700066372","1211.6237700066372","1211.6237700066372"
"147","1201.7008985934185","1201.7008985934185","1201.7008985934185","1210.8143149603309","1210.8143149603309","1210.8143149603309","1212.4157583715269","1212.4157583715269","1212.4157583715269"
"149","1202.3160905585228","1202.3160905585228","1202.3160905585228","1211.662868084837","1211.662868084837","1211.662868084837","1213.8219084774153","1213.8219084774153","1213.8219084774153"
"151","1202.141562502765","1202.141562502765","1202.141562502765","1211.9788301103135","1211.9788301103135","1211.9788301103135","1214.5253024717888","1214.5253024717888","1214.5253024717888"
"153","1202.6771981888292","1202.6771981888292","1202.6771981888292","1210.990700935613","1210.990700935613","1210.990700935613","1213.1216696747476","1213.1216696747476","1213.1216696747476"
"155","1202.28207319278","1202.28207319278","1202.28207319278","1209.7097248601317","1209.7097248601317","1209.7097248601317","1212.1905056610929","1212.1905056610929","1212.1905056610929"
"157","1203.196570626165","1203.196570626165","1203.196570626165","1209.950758118658","1209.950758118658","1209.950758118658","1212.2122047918572","1212.2122047918572","1212.2122047918572"
"159","1203.3866603439008","1203.3866603439008","1203.3866603439008","1208.430828823845","1208.430828823845","1208.430828823845","1211.7135728640512","1211.7135728640512","1211.7135728640512"
"161","1204.7387058381005","1204.7387058381005","1204.7387058381005","1207.669626194013","1207.669626194013","1207.669626194013","1211.4217245724935","1211.4217245724935","1211.4217245724935"
"163","1205.8404504377781","1205.8404504377781","1205.8404504377781","1207.847613177608","1207.847613177608","1207.847613177608","1211.758067775073","1211.758067775073","1211.758067775073"
"165","1205.4404129784741","1205.4404129784741","1205.4404129784741","1208.7029652084582","1208.7029652084582","1208.7029652084582","1213.1802300692223","1213.1802300692223","1213.1802300692223"
"167","1205.6985832948758","1205.6985832948758","1205.6985832948758","1209.6892912918413","1209.6892912918413","1209.6892912918413","1214.0884642380752","1214.0884642380752","1214.0884642380752"
"169","1205.679068549483","1205.679068549483","1205.679068549483","1211.563576334671","1211.563576334671","1211.563576334671","1214.0879568353505","1214.0879568353505","1214.0879568353505"
"171","1205.8368183961811","1205.8368183961811","1205.8368183961811","1213.8821355943987","1213.8821355943987","1213.8821355943987","1213.564512782501","1213.564512782501","1213.564512782501"
"173","1205.743298675601","1205.743298675601","1205.743298675601","1215.4874103802506","1215.4874103802506","1215.4874103802506","1211.1129965325408","1211.1129965325408","1211.1129965325408"
"175","1205.3517725131962","1205.3517725131962","1205.3517725131962","1215.9427558554855","1215.9427558554855","1215.9427558554855","1209.1062804121752","1209.1062804121752","1209.1062804121752"
"177","1205.6174736953562","1205.6174736953562","1205.6174736953562","1216.2631699939939","1216.2631699939939","1216.2631699939939","1208.5291469039412","1208.5291469039412","1208.5291469039412"
"179","1205.1892977494701","1205.1892977494701","1205.1892977494701","1216.4095071150864","1216.4095071150864","1216.4095071150864","1208.415888421784","1208.415888421784","1208.415888421784"
"181","1204.3634158706573","1204.3634158706573","1204.3634158706573","1215.4287569712674","1215.4287569712674","1215.4287569712674","1208.2591479090934","1208.2591479090934","1208.2591479090934"
"183","1204.018750614786","1204.018750614786","1204.018750614786","1214.7195564686913","1214.7195564686913","1214.7195564686913","1208.2828740904633","1208.2828740904633","1208.2828740904633"
"185","1203.1954719853334","1203.1954719853334","1203.1954719853334","1213.7059486582164","1213.7059486582164","1213.7059486582164","1209.030857508613","1209.030857508613","1209.030857508613"
"187","1202.5278175996457","1202.5278175996457","1202.5278175996457","1212.4406998103484","1212.4406998103484","1212.4406998103484","1209.9905016562882","1209.9905016562882","1209.9905016562882"
"189","1202.4716930777251","1202.4716930777251","1202.4716930777251","1210.6046303126084","1210.6046303126084","1210.6046303126084","1209.6840428612063","1209.6840428612063","1209.6840428612063"
"191","1202.0449212441124","1202.0449212441124","1202.0449212441124","1208.860692031482","1208.860692031482","1208.860692031482","1208.14995513481","1208.14995513481","1208.14995513481"
"193","1201.6590756708915","1201.6590756708915","1201.6590756708915","1206.6080063406769","1206.6080063406769","1206.6080063406769","1207.9146624521918","1207.9146624521918","1207.9146624521918"
"195","1200.5218274267468","1200.5218274267468","1200.5218274267468","1206.7424601732146","1206.7424601732146","1206.7424601732146","1209.0164894174538","1209.0164894174538","1209.0164894174538"
"197","1200.4363127287668","1200.4363127287668","1200.4363127287668","1208.6376909662733","1208.6376909662733","1208.6376909662733","1210.624838044062","1210.624838044062","1210.624838044062"
"199","1200.067867335714","1200.067867335714","1200.067867335714","1209.979714874988","1209.979714874988","1209.979714874988","1211.7293234567119","1211.7293234567119","1211.7293234567119"
"201","1198.6019524638868","1198.6019524638868","1198.6019524638868","1210.829302452824","1210.829302452824","1210.829302452824","1212.8683831937285","1212.8683831937285","1212.8683831937285"
"203","1198.2765578721112","1198.2765578721112","1198.2765578721112","1212.9927546006254","1212.9927546006254","1212.9927546006254","1214.073369004646","1214.073369004646","1214.073369004646"
"205","1198.5301064607893","1198.5301064607893","1198.5301064607893","1212.45746687739","1212.45746687739","1212.45746687739","1213.379289110851","1213.379289110851","1213.379289110851"
"207","1199.2292961216294","1199.2292961216294","1199.2292961216294","1211.4346932452504","1211.4346932452504","1211.4346932452504","1214.1533950880296","1214.1533950880296","1214.1533950880296"
"209","1198.9213989916864","1198.9213989916864","1198.9213989916864","1209.9012674210574","1209.9012674210574","1209.9012674210574","1215.1883232196474","1215.1883232196474","1215.1883232196474"
"211","1198.7316625849476","1198.7316625849476","1198.7316625849476","1208.7760921926854","1208.7760921926854","1208.7760921926854","1216.117354196036","1216.117354196036","1216.117354196036"
"213","1199.9136562031795","1199.9136562031795","1199.9136562031795","1207.5050777064828","1207.5050777064828","1207.5050777064828","1216.5673791826023","1216.5673791826023","1216.5673791826023"
"215","1200.1720030280997","1200.1720030280997","1200.1720030280997","1208.5242224073077","1208.5242224073077","1208.5242224073077","1218.3382452634569","1218.3382452634569","1218.3382452634569"
"217","1199.6929499762932","1199.6929499762932","1199.6929499762932","1208.9970617125512","1208.9970617125512","1208.9970617125512","1218.741047811107","1218.741047811107","1218.741047811107"
"219","1199.7717343458603","1199.7717343458603","1199.7717343458603","1210.272631595916","1210.272631595916","1210.272631595916","1219.3258257578148","1219.3258257578148","1219.3258257578148"
"221","1200.2103068464137","1200.2103068464137","1200.2103068464137","1211.1179069191135","1211.1179069191135","1211.1179069191135","1218.1367800202293","1218.1367800202293","1218.1367800202293"
"223","1200.5442881120205","1200.5442881120205","1200.5442881120205","1213.2922516547078","1213.2922516547078","1213.2922516547078","1218.1734152574513","1218.1734152574513","1218.1734152574513"
"225","1199.6942058665484","1199.6942058665484","1199.6942058665484","1213.8609468438851","1213.8609468438851","1213.8609468438851","1215.3600448430632","1215.3600448430632","1215.3600448430632"
"227","1199.4083528242245","1199.4083528242245","1199.4083528242245","1214.7571016436448","1214.7571016436448","1214.7571016436448","1213.9552527357205","1213.9552527357205","1213.9552527357205"
"229","1199.0308987356575","1199.0308987356575","1199.0308987356575","1217.1989104940417","1217.1989104940417","1217.1989104940417","1213.6223962354204","1213.6223962354204","1213.6223962354204"
"231","1199.0368356196857","1199.0368356196857","1199.0368356196857","1219.5977011252644","1219.5977011252644","1219.5977011252644","1212.1526756866956","1212.1526756866956","1212.1526756866956"
"233","1198.6599555393998","1198.6599555393998","1198.6599555393998","1221.2699487182726","1221.2699487182726","1221.2699487182726","1212.0337171191957","1212.0337171191957","1212.0337171191957"
"235","1198.2030097480795","1198.2030097480795","1198.2030097480795","1220.979816894775","1220.979816894775","1220.979816894775","1212.2538856275876","1212.2538856275876","1212.2538856275876"
"237","1198.9249867781393","1198.9249867781393","1198.9249867781393","1222.6685573379268","1222.6685573379268","1222.6685573379268","1213.108979476562","1213.108979476562","1213.108979476562"
"239","1199.2877116509148","1199.2877116509148","1199.2877116509148","1223.4866030597084","1223.4866030597084","1223.4866030597084","1213.3476681701802","1213.3476681701802","1213.3476681701802"
"241","1199.6399760659986","1199.6399760659986","1199.6399760659986","1222.2377133198465","1222.2377133198465","1222.2377133198465","1214.469861766286","1214.469861766286","1214.469861766286"
"243","1199.2229351202702","1199.2229351202702","1199.2229351202702","1220.6186832443022","1220.6186832443022","1220.6186832443022","1216.229513970983","1216.229513970983","1216.229513970983"
"245","1199.6653831178678","1199.6653831178678","1199.6653831178678","1219.607117855675","1219.607117855675","1219.607117855675","1217.441336419382","1217.441336419382","1217.441336419382"
"247","1200.0930957644528","1200.0930957644528","1200.0930957644528","1218.53133249676","1218.53133249676","1218.53133249676","1218.527040677055","1218.527040677055","1218.527040677055"
"249","1199.8724851123682","1199.8724851123682","1199.8724851123682","1216.7667747321173","1216.7667747321173","1216.7667747321173","1220.5369683440276","1220.5369683440276","1220.5369683440276"
"251","1200.1284529316938","1200.1284529316938","1200.1284529316938","1215.6285824224797","1215.6285824224797","1215.6285824224797","1221.1228526788252","1221.1228526788252","1221.1228526788252"
"253","1200.3236668204945","1200.3236668204945","1200.3236668204945","1215.2691080696652","1215.2691080696652","1215.2691080696652","1221.6871549072287","1221.6871549072287","1221.6871549072287"
"255","1200.8366906217402","1200.8366906217402","1200.8366906217402","1215.4346276574897","1215.4346276574897","1215.4346276574897","1222.3110123937158","1222.3110123937158","1222.3110123937158"
"257","","","","1216.0284054904064","1216.0284054904064","1216.0284054904064","1222.3183460884406","1222.3183460884406","1222.3183460884406"
