Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Originale Auflösungen;∅ Anrainer DE/LU [€/MWh] Originale Auflösungen;Belgien [€/MWh] Originale Auflösungen;Dänemark 1 [€/MWh] Originale Auflösungen;Dänemark 2 [€/MWh] Originale Auflösungen;Frankreich [€/MWh] Originale Auflösungen;Niederlande [€/MWh] Originale Auflösungen;Norwegen 2 [€/MWh] Originale Auflösungen;Österreich [€/MWh] Originale Auflösungen;Polen [€/MWh] Originale Auflösungen;Schweden 4 [€/MWh] Originale Auflösungen;Schweiz [€/MWh] Originale Auflösungen;Tschechien [€/MWh] Originale Auflösungen;DE/AT/LU [€/MWh] Originale Auflösungen;Italien (Nord) [€/MWh] Originale Auflösungen;Slowenien [€/MWh] Originale Auflösungen;Ungarn [€/MWh] Originale Auflösungen
06.09.2022;17:00;18:00;525,81;498,12;525,76;524;524;537,74;524;485,53;540,03;208,69;449,94;609,61;550,07;-;581,87;581,87;572,6
06.09.2022;18:00;19:00;564,44;537,5;568,13;564,44;564,44;575,8;567,26;529,93;559,99;263,81;529,93;608,72;580,04;-;700;620;597,59
06.09.2022;19:00;20:00;633,97;585,78;635,05;570,25;570,25;640,72;634,05;553,71;627,05;331,91;553,08;665,34;662,2;-;730;730;693,94
06.09.2022;20:00;21:00;594;559,67;594,08;561,5;561,5;597,03;593,43;545,22;603,12;331,18;539,93;620,3;609,12;-;700;626,96;621,56
06.09.2022;21:00;22:00;530,03;508,22;548,78;528,91;528,91;581,87;545,05;513,57;532,94;220,7;463,26;575,04;551,34;-;581,87;565,78;567,38
06.09.2022;22:00;23:00;484,81;459,99;480,56;470,01;470,01;546,19;470,01;469,81;530,05;203;338,81;559,93;521,47;-;546,19;546,19;555,62
06.09.2022;23:00;00:00;471,21;399,47;466,79;456,41;183,01;535,57;456,41;456,61;519,79;142,89;139,78;526,82;510,04;-;535,57;535,57;545,47
07.09.2022;00:00;01:00;415,26;353,81;415,26;415,26;219,97;415,26;415,26;426,32;415,26;104,13;199,92;450,04;415,26;-;449,62;415,26;415,26
07.09.2022;01:00;02:00;384,07;343,32;384,47;384,07;262,33;385,97;383,6;395,54;398,26;105,8;262,33;414,3;399,83;-;430,96;402,43;408,3
07.09.2022;02:00;03:00;367,45;343,57;368,59;367,45;367,45;372,85;366,06;378,42;408,35;106,49;219,05;411,51;413,06;-;429,48;420,1;437,61
07.09.2022;03:00;04:00;366,11;335,98;366,34;366,11;366,11;367,19;365,85;377,05;374,1;106,8;219,03;412,15;375,01;-;423,29;376,45;379,73
07.09.2022;04:00;05:00;387,67;355,9;388,13;387,67;387,67;389,85;387,13;399,24;403,97;108,27;250,01;407,07;405,89;-;420;408,77;415,47
07.09.2022;05:00;06:00;394,01;366,92;394,47;394,01;394,01;396,74;393,45;406,61;420,05;111,34;290;418,72;416,76;-;431,29;423,57;432,04
07.09.2022;06:00;07:00;484,68;457,03;484,68;484,68;484,68;484,68;484,68;472,08;484,68;181,98;472,08;508,41;484,68;-;484,68;484,68;484,68
07.09.2022;07:00;08:00;519,9;487,02;519,9;519,9;519,9;519,9;519,9;503,78;519,9;161,53;519,9;532,66;519,9;-;519,9;519,9;519,9
07.09.2022;08:00;09:00;524,77;490,81;524,77;524,77;524,77;524,77;524,77;508,02;524,77;144,69;524,77;548,05;524,77;-;524,77;524,77;524,77
07.09.2022;09:00;10:00;501,18;468,46;500,45;501,18;501,18;500,72;498,9;500,04;501,02;124,79;501,18;522,41;501,14;-;501,04;501,04;501,09
